시도,시군구,구분,2017,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,,,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명
,,사망자수,13,8,0,2,0,1,0,1,0,,1,0,,0,21,11,0,5,0,3,,0,2,,0,0,0,0,19,10,3,2,0,3,,0,0,,1,0,,,16,8,1,2,0,5,0,0,0,0,0,0,,0,15,9,0,1,1,3,,0,1,0,0,,,0
,,부상자수,1667,1152,83,278,29,69,3,9,11,,27,3,,3,1575,1144,57,232,12,71,,3,12,,26,1,7,10,1473,1076,54,227,7,76,,3,14,,13,3,,,1304,914,42,210,11,89,2,5,13,3,9,5,,1,1144,809,30,187,12,73,,2,13,3,12,,,3
,보은군,사고건수,145,75,5,37,,16,1,1,3,,4,2,,1,149,73,7,43,,15,,,5,,3,1,1,1,165,95,8,34,,14,3,1,6,,2,2,,,132,54,3,36,3,24,1,,4,1,2,1,1,2,136,72,5,34,2,12,,1,2,1,3,4,,
,,사망자수,19,8,1,6,,2,0,0,0,,2,0,,0,6,2,0,2,,2,,,0,,0,0,0,0,13,4,0,3,,5,0,1,0,,0,0,,,9,1,2,2,2,1,0,,1,0,0,0,0,0,10,1,0,4,2,1,,0,0,0,1,1,,
,,부상자수,218,113,6,73,,15,1,1,3,,2,3,,1,224,112,11,63,,17,,,5,,7,1,1,7,294,194,16,56,,13,3,0,6,,4,2,,,210,103,2,63,5,26,1,,3,1,2,1,1,2,231,118,5,72,10,16,,1,2,2,2,3,,
,옥천군,사고건수,222,108,10,53,3,22,1,16,4,,2,2,,1,228,137,8,36,7,21,1,5,,,7,2,,4,236,140,6,49,1,21,2,1,4,,6,3,1,2,160,65,9,53,3,13,1,5,4,1,3,1,,2,153,71,4,49,3,15,,2,3,,4,1,1,
,,사망자수,10,3,0,4,0,1,0,1,0,,0,1,,0,11,7,0,3,0,1,0,0,,,0,0,,0,7,4,1,1,0,1,0,0,0,,0,0,0,0,5,1,0,2,0,1,1,0,0,0,0,0,,0,9,0,0,5,2,2,,0,0,,0,0,0,
,,부상자수,351,187,15,89,5,26,1,19,4,,2,2,,1,340,214,15,45,11,30,1,6,,,12,2,,4,343,221,9,61,4,24,4,1,4,,7,4,1,3,223,100,17,71,5,14,0,5,4,1,3,1,,2,200,99,4,62,5,17,,2,3,,5,2,1,
,영동군,사고건수,191,105,7,43,2,22,3,2,2,,3,2,,,165,86,3,44,2,19,2,1,2,,3,2,,1,218,123,6,46,1,23,3,1,8,,2,5,,,158,89,3,38,2,12,2,,5,,4,3,,,145,79,3,37,2,11,1,1,3,,6,1,,1
,,사망자수,12,2,4,3,1,1,0,0,0,,0,1,,,10,1,0,6,0,2,0,0,0,,0,1,,0,9,4,1,3,0,0,0,0,0,,0,1,,,10,4,0,4,1,0,0,,0,,1,0,,,8,3,0,2,0,1,1,0,0,,0,1,,0
,,부상자수,274,152,12,69,1,28,3,2,2,,4,1,,,221,124,3,60,2,19,3,1,2,,5,1,,1,334,203,7,75,1,27,3,1,8,,3,6,,,217,135,4,45,5,15,2,,5,,3,3,,,202,113,5,53,8,10,0,1,3,,8,0,,1
,진천군,사고건수,516,329,24,90,1,33,,9,12,,11,4,2,1,551,364,21,93,9,32,1,4,11,,5,6,,5,516,300,26,107,2,41,3,5,11,1,6,6,,8,481,316,19,91,3,14,,20,3,1,7,5,1,1,491,309,20,101,4,21,2,8,9,2,7,3,,5
,,사망자수,17,10,1,3,0,2,,0,0,,0,1,0,0,20,9,2,3,3,0,1,0,0,,0,2,,0,11,6,0,2,0,3,0,0,0,0,0,0,,0,12,4,3,5,0,0,,0,0,0,0,0,0,0,16,7,1,5,0,0,0,3,0,0,0,0,,0
,,부상자수,827,557,38,146,1,36,,11,12,,15,4,6,1,882,620,36,144,11,37,0,4,11,,10,4,,5,840,485,86,164,7,49,3,6,12,1,8,9,,10,800,520,60,147,5,15,,24,3,1,16,7,1,1,703,477,26,130,5,28,2,7,9,2,8,4,,5
,괴산군,사고건수,195,98,9,54,,14,2,2,3,,6,2,,5,239,125,14,72,2,15,1,2,4,1,1,2,,,190,104,10,49,2,12,3,,4,,1,3,,2,193,96,12,57,2,15,,,2,1,2,5,,1,181,100,6,53,1,7,3,2,1,1,4,,,3
,,사망자수,15,7,0,5,,2,0,0,0,,1,0,,0,14,4,0,5,2,1,0,2,0,0,0,0,,,10,8,0,1,0,0,0,,0,,0,1,,0,10,2,0,5,1,2,,,0,0,0,0,,0,6,3,1,1,0,0,0,0,0,1,0,,,0
,,부상자수,337,181,20,98,,13,3,2,3,,9,3,,5,426,236,24,133,4,16,1,0,4,1,3,4,,,297,185,16,67,2,14,3,,4,,1,3,,2,340,163,34,105,1,21,,,2,2,3,8,,1,314,178,26,86,1,8,4,2,1,0,5,,,3
,음성군,사고건수,624,366,32,136,5,35,,22,8,1,9,1,,9,652,411,35,138,3,27,,10,10,1,9,2,,6,663,432,26,117,7,43,2,4,6,,12,6,,8,606,383,28,107,4,50,,2,10,1,14,5,,2,528,335,16,93,5,43,4,4,10,2,11,2,,3
,,사망자수,21,17,0,2,0,0,,2,0,0,0,0,,0,20,8,1,8,1,2,,0,0,0,0,0,,0,18,8,4,3,1,1,1,0,0,,0,0,,0,20,10,1,3,0,3,,0,0,0,0,3,,0,12,5,0,4,0,1,0,0,1,0,1,0,,0
,,부상자수,1121,657,118,238,5,45,,24,9,1,12,2,,10,1148,770,67,229,8,27,,11,10,1,13,3,,9,1094,715,71,192,6,51,1,5,6,,31,8,,8,952,637,62,147,4,59,,3,12,1,22,3,,2,814,525,40,149,8,51,4,4,10,2,15,3,,3
,단양군,사고건수,143,82,8,32,4,6,,2,1,,5,3,,,135,73,9,27,4,10,1,,1,1,8,1,,,157,78,7,37,2,9,,1,3,,12,7,,1,145,80,4,29,6,15,,,2,,4,4,1,,147,69,7,33,3,20,1,1,2,,9,2,,
,,사망자수,9,3,2,3,0,1,,0,0,,0,0,,,8,5,0,2,0,1,0,,0,0,0,0,,,10,3,0,3,1,1,,0,0,,0,2,,0,5,1,0,1,0,2,,,0,,0,0,1,,7,3,0,0,0,1,1,1,0,,1,0,,
,,부상자수,295,138,74,61,5,5,,3,1,,5,3,,,223,128,16,48,5,10,1,,1,1,12,1,,,279,154,14,69,3,10,,1,3,,17,7,,1,233,136,11,48,6,21,,,2,,5,4,0,,228,117,14,53,8,24,0,0,2,,8,2,,
,증평군,사고건수,191,99,9,39,,24,,3,8,,3,1,,5,162,108,7,23,1,11,,2,7,,3,,,,210,143,10,28,1,20,1,,5,,1,1,,,167,96,6,31,1,14,1,5,7,1,3,,,2,210,131,5,26,2,27,1,1,11,,4,1,,1
,,사망자수,4,3,0,1,,0,,0,0,,0,0,,0,1,1,0,0,0,0,,0,0,,0,,,,6,4,1,1,0,0,0,,0,,0,0,,,2,2,0,0,0,0,0,0,0,0,0,,,0,3,1,1,1,0,0,0,0,0,,0,0,,0
,,부상자수,302,153,10,82,,32,,3,8,,7,1,,6,258,176,9,40,1,16,,3,8,,5,,,,297,203,16,46,1,23,1,,5,,1,1,,,242,139,7,57,1,16,1,5,8,1,5,,,2,310,195,7,46,2,30,1,1,12,,14,1,,1
,천안시,사고건수,2776,1976,140,333,7,122,8,51,40,1,21,4,2,71,2914,2062,157,338,19,195,1,20,44,6,26,4,1,41,3137,2186,184,343,18,241,2,19,41,11,32,1,2,57,3086,2130,132,346,22,279,3,23,45,13,34,4,3,52,3039,2121,124,360,10,243,1,46,49,25,22,3,,35
,,사망자수,49,27,4,11,0,3,0,1,0,0,3,0,0,0,54,21,7,14,0,10,0,0,0,0,2,0,0,0,42,20,8,7,0,6,0,0,1,0,0,0,0,0,51,19,3,15,1,9,0,0,0,0,4,0,0,0,29,17,1,4,0,6,0,0,0,0,1,0,,0
,,부상자수,4195,3118,228,480,7,147,11,58,41,1,22,4,3,75,4346,3162,261,505,26,231,1,28,46,6,30,4,1,45,4653,3293,309,516,22,298,2,25,41,11,65,1,2,68,4595,3196,264,520,25,378,3,35,49,16,41,5,6,57,4392,3113,178,552,19,313,1,63,56,28,29,3,,37
,아산시,사고건수,1038,728,45,154,8,44,1,15,6,,9,2,1,25,762,505,36,118,4,38,2,3,8,,4,4,,40,1083,727,62,143,9,64,,10,9,,18,2,3,36,1190,833,48,173,7,77,3,5,11,,8,4,2,19,1185,826,61,168,8,62,1,10,16,5,14,2,,12
,,사망자수,51,28,1,10,1,6,1,3,1,,0,0,0,0,38,17,1,12,0,4,0,1,1,,1,1,,0,36,15,1,13,0,5,,0,1,,1,0,0,0,19,11,0,3,0,2,0,1,1,,1,0,0,0,27,13,1,5,0,5,0,0,2,1,0,0,,0
,,부상자수,1471,1065,61,228,8,45,0,12,5,,9,4,1,33,1046,713,42,176,6,44,2,2,7,,3,3,,48,1521,1045,96,214,13,71,,11,8,,19,3,3,38,1698,1211,61,259,11,97,6,5,10,,9,5,2,22,1687,1194,82,254,13,73,1,11,14,5,21,5,,14
,보령시,사고건수,446,279,14,86,5,27,3,11,11,,2,4,,4,347,236,13,59,4,21,1,3,2,,3,2,,3,479,301,20,89,3,34,3,3,7,2,6,6,1,4,468,293,19,78,3,46,3,4,9,1,6,4,,2,424,275,11,80,1,30,3,1,10,,2,8,,3
,,사망자수,24,14,0,3,0,4,0,0,1,,1,1,,0,18,8,2,8,0,0,0,0,0,,0,0,,0,16,6,0,8,0,0,0,1,1,0,0,0,0,0,12,5,0,3,0,4,0,0,0,0,0,0,,0,19,11,0,2,0,3,0,0,0,,0,3,,0
,,부상자수,665,431,27,127,10,29,3,19,10,,2,3,,4,494,354,12,86,5,21,2,3,2,,3,3,,3,704,437,43,135,4,38,5,2,6,2,9,14,5,4,682,456,21,101,3,58,3,8,10,1,13,6,,2,595,410,14,106,3,33,3,1,11,,2,8,,4
,공주시,사고건수,598,369,35,106,2,53,2,3,15,,4,3,1,5,630,381,40,118,2,56,5,5,6,,9,1,,7,608,372,23,117,6,52,4,3,17,,8,3,,3,514,293,29,96,3,65,2,6,7,,7,3,,3,461,290,22,87,4,39,3,2,9,1,2,1,1,
,,사망자수,26,13,1,10,0,2,0,0,0,,0,0,0,0,24,13,1,8,0,1,0,0,1,,0,0,,0,22,8,3,7,1,2,1,0,0,,0,0,,0,26,13,0,8,0,4,0,0,0,,1,0,,0,13,6,0,7,0,0,0,0,0,0,0,0,0,
,,부상자수,1047,679,75,186,3,68,2,3,15,,6,4,1,5,1092,687,88,204,5,67,6,6,6,,14,2,,7,1034,669,42,202,7,67,3,7,17,,12,4,,4,796,501,51,135,4,73,2,7,7,,9,4,,3,715,481,38,125,5,45,4,2,10,1,2,1,1,
,서산시,사고건수,774,494,31,123,4,64,1,10,22,1,11,5,1,7,797,496,30,160,8,63,2,4,12,,11,3,1,7,839,544,32,135,7,73,2,2,23,,12,3,,6,737,491,21,131,5,53,4,3,12,,10,2,,5,667,444,30,103,7,57,1,2,6,,10,3,2,2
,,사망자수,30,14,0,10,0,4,0,0,2,0,0,0,0,0,30,8,2,12,1,3,0,0,2,,1,1,0,0,26,14,1,6,1,3,0,0,1,,0,0,,0,24,16,3,1,0,1,1,0,2,,0,0,,0,22,16,1,5,0,0,0,0,0,,0,0,0,0
,,부상자수,1125,727,69,190,5,71,1,11,20,1,17,5,1,7,1249,809,53,264,13,69,2,4,10,,13,4,1,7,1268,854,64,213,6,79,2,2,25,,14,3,,6,1067,729,33,197,9,62,5,3,10,,11,3,,5,955,654,56,142,7,63,1,2,6,,15,3,2,4
,금산군,사고건수,232,128,6,63,1,29,,,1,,2,1,,1,164,78,12,46,,15,3,,5,,1,4,,,150,85,6,33,1,19,,,,,4,2,,,121,59,10,32,,14,,,1,,1,4,,,111,64,2,23,,15,1,3,,,2,1,,
,,사망자수,12,7,1,2,0,1,,,1,,0,0,,0,11,4,0,4,,1,0,,1,,0,1,,,7,3,0,4,0,0,,,,,0,0,,,7,1,2,2,,1,,,0,,0,1,,,8,3,0,1,,3,0,0,,,1,0,,
,,부상자수,356,223,6,91,1,30,,,0,,3,1,,1,252,124,24,74,,16,3,,5,,1,5,,,209,126,8,45,1,22,,,,,4,3,,,198,86,50,43,,13,,,1,,1,4,,,158,98,2,37,,12,1,5,,,2,1,,
,태안군,사고건수,370,203,15,88,3,25,7,4,3,,11,6,1,4,322,178,19,78,2,20,5,1,2,,3,8,1,5,320,187,14,64,3,24,7,,3,,5,8,3,2,299,183,10,70,4,14,2,1,2,,2,9,,2,270,164,8,72,1,16,2,,1,,3,2,,1
,,사망자수,14,7,0,2,0,1,0,1,0,,1,2,0,0,14,3,3,3,0,2,2,0,0,,0,0,0,1,17,8,1,5,0,0,2,,1,,0,0,0,0,16,8,1,4,0,1,0,0,0,,0,2,,0,14,8,0,1,0,5,0,,0,,0,0,,0
,,부상자수,620,355,40,157,3,25,8,3,3,,14,5,1,6,502,282,30,139,2,19,5,1,2,,3,12,3,4,584,377,37,104,4,32,8,,2,,5,9,4,2,523,324,19,134,13,14,2,1,2,,2,10,,2,411,274,14,96,1,15,2,,1,,5,2,,1
,논산시,사고건수,581,343,21,115,2,49,2,10,18,,5,8,,8,463,277,19,92,1,46,,5,10,,3,4,,6,476,267,21,94,1,65,2,2,13,,2,6,,3,375,215,12,75,3,49,,3,7,2,1,5,,3,350,207,11,60,1,48,1,3,5,2,6,5,,1
,,사망자수,34,19,0,8,1,3,0,0,2,,0,1,,0,25,12,3,5,0,1,,1,3,,0,0,,0,26,7,1,10,0,3,1,0,3,,0,1,,0,21,13,1,3,1,3,,0,0,0,0,0,,0,23,12,1,4,0,4,1,0,0,0,0,1,,0
,,부상자수,892,576,23,175,1,59,2,12,19,,9,8,,8,711,446,39,140,1,56,,5,8,,4,6,,6,744,445,44,124,2,81,1,2,12,,22,8,,3,594,358,15,130,4,62,,3,8,2,1,8,,3,538,337,19,90,4,58,0,10,5,2,8,4,,1
,부여군,사고건수,228,118,9,53,,20,1,3,10,1,11,1,,1,222,118,10,57,1,22,1,2,,1,4,1,,5,222,124,9,52,2,21,4,,2,,2,4,,2,201,115,5,54,,15,1,1,5,,2,3,,,193,107,8,48,1,17,,4,3,,2,3,,
,,사망자수,12,4,1,0,,1,1,0,0,0,4,1,,0,20,6,0,6,1,5,1,0,,0,0,1,,0,16,5,2,6,0,1,0,,0,,1,1,,0,6,1,0,3,,1,0,0,0,,0,1,,,13,8,0,4,0,0,,0,1,,0,0,,
,,부상자수,288,162,10,66,,22,0,3,10,1,12,0,,2,283,150,23,76,0,21,0,2,,1,5,0,,5,278,155,12,73,2,23,4,,2,,1,4,,2,285,177,8,70,,15,1,1,5,,5,3,,,264,143,9,69,3,25,,5,2,,3,5,,
,서천군,사고건수,361,216,7,72,4,21,3,24,9,,3,2,,,326,167,12,89,3,26,1,16,6,,3,3,,,323,179,9,62,2,27,2,16,10,,11,4,1,,289,164,4,69,3,23,1,7,11,,3,4,,,256,142,11,52,4,28,,5,5,2,4,3,,
,,사망자수,16,7,1,5,0,2,0,1,0,,0,0,,,11,5,1,3,0,0,0,2,0,,0,0,,,18,8,1,6,0,1,0,0,0,,0,2,0,,14,7,0,3,0,0,0,1,1,,1,1,,,17,6,0,4,1,6,,0,0,0,0,0,,
,,부상자수,565,358,10,121,4,25,3,29,9,,4,2,,,515,277,26,147,7,28,1,15,6,,4,4,,,462,268,13,98,2,31,2,21,11,,13,2,1,,416,253,8,101,5,26,1,6,10,,3,3,,,401,242,19,82,7,29,,6,5,2,5,4,,
,청양군,사고건수,206,117,6,46,,19,3,3,5,,1,5,,1,175,105,1,37,,20,2,,1,,3,5,,1,191,103,10,39,2,23,1,,5,,2,5,1,,170,97,5,39,3,16,1,2,3,,3,1,,,151,81,7,38,,14,1,,5,,,4,,1
,,사망자수,11,4,0,5,,1,0,0,0,,0,1,,0,13,10,0,2,,0,1,,0,,0,0,,0,10,3,0,3,0,1,0,,1,,0,2,0,,9,5,0,4,0,0,0,0,0,,0,0,,,7,2,0,4,,0,0,,0,,,1,,0
,,부상자수,339,205,14,83,,19,3,4,5,,1,4,,1,233,148,1,49,,20,2,,1,,4,7,,1,271,161,16,56,2,25,1,,4,,2,3,1,,254,161,5,56,3,18,1,2,3,,4,1,,,230,139,15,51,,15,1,,5,,,3,,1
,홍성군,사고건수,370,222,16,84,,34,1,1,3,,3,3,1,2,322,211,12,61,,26,4,1,1,,3,2,,1,341,205,13,81,1,24,2,,4,,5,5,,1,322,194,16,67,2,29,3,2,3,,3,2,,1,244,167,5,45,1,10,1,1,,1,9,4,,
,,사망자수,14,6,1,3,,1,0,0,2,,0,1,0,0,29,13,3,7,,3,0,0,0,,1,2,,0,21,11,0,5,0,1,1,,0,,0,3,,0,12,5,1,2,0,3,1,0,0,,0,0,,0,12,6,0,3,0,2,0,0,,1,0,0,,
,,부상자수,538,334,24,126,,36,2,1,1,,9,2,1,2,467,303,18,97,,27,6,1,1,,10,3,,1,474,301,25,109,1,24,1,,5,,5,2,,1,443,276,20,100,2,31,2,2,3,,4,2,,1,354,247,8,68,1,9,1,3,,0,12,5,,
,예산군,사고건수,372,232,16,72,2,28,6,9,1,,1,,1,4,439,255,20,108,6,34,,2,5,,6,,,3,397,253,22,70,1,36,,,6,,2,3,,4,375,214,14,87,4,30,2,4,6,,8,4,1,1,326,189,19,69,2,24,2,3,5,1,5,6,,1
,,사망자수,24,16,0,3,1,2,2,0,0,,0,,0,0,24,12,2,7,0,3,,0,0,,0,,,0,17,9,0,5,0,3,,,0,,0,0,,0,13,6,0,4,0,3,0,0,0,,0,0,0,0,23,10,1,2,0,6,1,1,1,0,0,1,,0
,,부상자수,594,389,28,125,1,31,4,9,1,,1,,1,4,655,386,36,164,11,38,,2,5,,10,,,3,580,386,35,100,3,35,,,6,,7,4,,4,555,325,22,134,5,34,2,4,6,,16,4,2,1,442,272,27,99,2,20,1,2,4,1,5,8,,1
,당진시,사고건수,817,537,29,160,7,39,7,7,5,,11,2,,13,853,573,30,159,11,44,2,3,4,2,14,3,,8,783,516,22,155,18,53,2,4,2,,6,,,5,751,529,22,138,10,24,2,7,1,,13,2,,3,690,476,23,124,11,32,1,1,5,,13,2,,2
,,사망자수,33,18,0,8,0,5,1,1,0,,0,0,,0,41,27,1,7,2,2,1,1,0,0,0,0,,0,33,13,0,11,2,4,1,1,1,,0,,,0,29,14,1,6,0,5,1,0,0,,0,2,,0,36,20,3,6,1,5,0,0,0,,1,0,,0
,,부상자수,1363,865,98,284,9,43,8,10,5,,19,3,,19,1319,901,58,245,17,49,1,2,4,3,23,4,,12,1207,838,54,217,25,57,1,3,1,,6,,,5,1188,885,33,191,13,26,1,10,1,,25,0,,3,978,682,34,182,11,36,1,1,5,,17,7,,2
,계룡시,사고건수,72,51,5,12,,1,,,3,,,,,,71,48,2,11,,4,,1,1,1,1,1,,1,55,41,5,4,,1,,,1,,3,,,,54,38,5,6,,3,,,,1,1,,,,56,41,1,11,,1,,,,1,,1,,
,,사망자수,1,1,0,0,,0,,,0,,,,,,2,1,0,0,,1,,0,0,0,0,0,,0,1,0,0,1,,0,,,0,,0,,,,2,1,0,1,,0,,,,0,0,,,,2,2,0,0,,0,,,,0,,0,,
,,부상자수,100,70,7,19,,1,,,3,,,,,,119,84,2,22,,4,,1,1,1,2,1,,1,98,71,7,4,,2,,,1,,13,,,,87,67,6,9,,3,,,,1,1,,,,77,58,1,15,,1,,,,1,,1,,
,전주시,사고건수,2431,1854,117,250,4,77,,27,24,,17,,,61,2259,1749,128,215,11,72,,13,12,,15,1,,43,2365,1842,122,227,5,106,,7,20,4,5,1,1,25,2082,1555,110,208,5,104,2,19,14,4,14,2,,45,2151,1645,90,209,7,122,,9,22,13,12,,2,20
,,사망자수,54,29,8,9,0,3,,2,2,,1,,,0,36,20,4,6,1,4,,1,0,,0,0,,0,35,19,2,5,1,7,,0,0,0,1,0,0,0,40,23,2,9,0,2,1,0,2,0,1,0,,0,39,20,2,5,0,6,,0,2,0,3,,1,0
,,부상자수,3811,2983,207,362,4,99,,28,24,,38,,,66,3448,2696,211,332,15,102,,14,12,,18,2,,46,3541,2794,178,347,22,131,,8,20,4,6,1,3,27,3116,2393,157,298,6,142,1,26,14,4,19,2,,54,3070,2408,120,294,11,156,,11,20,14,10,,2,24
,군산시,사고건수,1266,922,62,154,8,39,2,22,29,1,10,,,17,1066,771,35,140,9,42,2,12,21,1,17,2,1,13,1225,897,48,160,8,56,1,6,22,1,13,1,,12,1103,804,38,155,8,44,3,12,25,1,7,1,,5,1100,802,39,146,11,49,1,2,25,6,11,,1,7
,,사망자수,31,25,1,2,0,1,0,1,1,0,0,,,0,36,17,4,8,0,3,0,3,1,0,0,0,0,0,25,10,2,7,0,1,0,0,2,0,2,1,,0,25,13,4,6,0,2,0,0,0,0,0,0,,0,21,10,2,9,0,0,0,0,0,0,0,,0,0
,,부상자수,1843,1350,113,224,15,46,4,28,30,1,14,,,18,1521,1117,61,209,11,46,2,10,21,1,25,2,2,14,1915,1439,96,234,13,72,1,10,20,1,13,0,,16,1743,1287,80,226,14,67,4,17,25,1,14,2,,6,1626,1202,62,226,18,59,1,2,26,7,14,,2,7
,정읍시,사고건수,734,450,29,133,1,54,5,8,37,,8,4,1,4,671,399,24,119,1,64,3,7,36,,11,3,1,3,596,368,24,112,2,47,1,5,24,,8,3,,2,491,291,17,113,2,33,2,7,17,2,3,1,2,1,379,250,9,65,,23,1,5,19,3,2,2,,
,,사망자수,27,9,3,9,0,1,1,0,3,,0,1,0,0,17,8,0,6,0,1,0,0,2,,0,0,0,0,20,5,1,8,3,1,0,0,2,,0,0,,0,18,7,0,7,0,2,0,0,1,0,0,1,0,0,17,8,0,5,,3,0,0,1,0,0,0,,
,,부상자수,1129,737,57,193,1,64,6,10,36,,17,3,1,4,1043,678,37,177,1,77,3,8,36,,16,4,3,3,904,583,43,172,2,53,1,6,24,,14,3,,3,767,484,28,177,2,39,3,10,16,2,3,0,2,1,585,410,12,101,,30,1,5,18,4,2,2,,
,남원시,사고건수,292,169,11,71,1,19,3,6,6,1,2,3,,,313,176,11,78,1,20,2,5,9,,6,5,,,311,164,16,83,1,21,3,,8,,10,3,,2,275,166,4,63,2,16,6,2,9,,4,2,,1,291,151,15,63,,32,6,4,9,1,4,3,,3
,,사망자수,25,12,0,5,0,5,0,0,2,1,0,0,,,27,9,0,6,0,5,2,0,1,,1,3,,,8,4,1,2,0,1,0,,0,,0,0,,0,18,3,0,6,5,1,0,0,2,,1,0,,0,12,4,1,3,,2,1,0,0,1,0,0,,0
,,부상자수,397,242,15,105,1,15,3,7,4,0,2,3,,,425,260,15,106,2,17,0,5,9,,9,2,,,440,239,22,122,1,25,3,,8,,13,5,,2,390,228,8,73,35,20,6,5,7,,4,3,,1,375,206,20,82,,34,6,4,9,1,6,3,,4
,김제시,사고건수,530,310,24,145,6,17,2,5,5,,8,5,,3,448,273,18,111,5,23,1,3,4,1,5,2,,2,481,292,23,123,7,17,2,2,3,,7,5,,,368,231,12,90,3,12,1,2,1,1,13,1,,1,263,170,9,58,3,6,,,5,1,8,3,,
,,사망자수,24,12,0,9,0,0,0,2,0,,0,1,,0,24,10,1,5,0,6,0,0,1,1,0,0,,0,23,11,1,8,0,2,0,1,0,,0,0,,,29,10,0,14,0,3,1,0,0,0,1,0,,0,13,5,1,5,0,2,,,0,0,0,0,,
,,부상자수,854,511,46,229,10,26,2,3,5,,13,6,,3,691,448,27,170,6,21,1,3,4,0,6,3,,2,874,527,75,218,12,23,3,1,3,,7,5,,,590,385,29,127,3,15,0,2,2,1,23,2,,1,398,252,14,102,3,7,,,6,1,10,3,,
,완주군,사고건수,235,139,11,49,2,6,1,8,6,,6,2,,5,268,168,12,56,4,13,2,,4,,5,1,,3,278,180,14,56,5,11,2,1,4,,3,,,2,235,139,14,47,3,11,2,2,1,,5,1,,10,194,129,4,32,1,9,1,3,3,,6,3,,3
,,사망자수,24,10,2,9,0,0,0,1,1,,0,1,,0,18,6,1,7,1,1,1,,1,,0,0,,0,17,7,0,6,0,1,0,0,3,,0,,,0,15,8,0,6,0,1,0,0,0,,0,0,,0,15,8,0,3,0,2,0,0,0,,0,2,,0
,,부상자수,338,213,12,74,2,6,1,8,5,,11,1,,5,424,274,18,98,3,17,2,,3,,5,1,,3,422,295,31,64,9,13,2,1,1,,3,,,3,352,218,23,61,5,14,3,2,1,,9,2,,14,281,205,4,40,1,11,1,3,3,,9,1,,3
,진안군,사고건수,60,31,3,18,,2,1,3,1,,,1,,,50,22,1,20,,3,,,,,,4,,,77,34,6,20,,6,,4,2,,1,4,,,52,24,2,14,,6,1,4,,,,1,,,63,29,1,22,,3,,2,2,,,4,,
,,사망자수,9,3,1,4,,1,0,0,0,,,0,,,5,3,0,1,,0,,,,,,1,,,7,3,0,2,,2,,0,0,,0,0,,,8,5,0,2,,0,1,0,,,,0,,,7,2,0,1,,0,,1,0,,,3,,
,,부상자수,92,50,11,24,,1,1,3,1,,,1,,,75,41,2,26,,3,,,,,,3,,,137,69,17,29,,7,,4,2,,5,4,,,64,31,4,16,,6,0,6,,,,1,,,94,47,1,37,,3,,3,2,,,1,,
,무주군,사고건수,131,68,4,33,,9,2,4,3,,3,5,,,128,68,9,33,,2,5,5,,,1,4,,1,125,59,14,34,2,7,1,4,,,2,2,,,94,50,4,29,2,6,,1,1,,,,,1,87,43,2,31,,8,,2,,,1,,,
,,사망자수,10,2,1,4,,1,0,0,1,,0,1,,,12,5,0,4,,0,0,1,,,0,2,,0,9,4,0,1,0,0,0,1,,,2,1,,,8,1,2,2,0,3,,0,0,,,,,0,6,0,0,3,,3,,0,,,0,,,
,,부상자수,251,151,11,41,,8,2,4,2,,23,9,,,203,120,18,45,,3,5,5,,,4,2,,1,220,106,49,46,3,7,1,7,,,0,1,,,144,85,3,45,2,4,,1,2,,,,,2,154,85,2,56,,5,,3,,,3,,,
,장수군,사고건수,59,23,3,16,,5,3,4,2,,2,1,,,56,22,4,20,1,5,,1,,,3,,,,65,27,2,21,,6,1,4,1,,3,,,,73,27,3,20,,10,6,1,1,,3,2,,,34,8,3,13,2,1,,1,1,,1,3,,1
,,사망자수,10,2,1,3,,1,1,0,0,,1,1,,,2,0,0,2,0,0,,0,,,0,,,,11,2,1,6,,1,1,0,0,,0,,,,4,2,0,1,,0,1,0,0,,0,0,,,6,1,0,4,0,1,,0,0,,0,0,,0
,,부상자수,77,37,4,19,,6,2,6,2,,1,0,,,128,63,10,24,14,6,,1,,,10,,,,78,39,2,23,,6,0,4,1,,3,,,,96,42,3,27,,10,6,1,1,,3,3,,,52,14,9,16,5,0,,1,1,,1,3,,2
,임실군,사고건수,99,55,5,26,2,3,1,,1,,6,,,,93,52,9,26,2,1,,,1,,,2,,,115,65,5,35,1,3,,1,,,4,1,,,115,66,5,34,2,5,,,,,1,2,,,119,67,2,29,2,6,1,2,,,6,4,,
